gid,contador,cd_sipra,modalid,nomeproj,fase,capacid,benefic,imov_orige,ccir,sr,sr_n,uf,regiao,mesoregiao,microregia,municipi,geocodigo,tipo_cr,num_cr,data_obt,forma_obt,area_obt,area_pro,geo_exec,num_certif,area_calc,AGORA VAI_,Vertices
,203,MF0291000,PA,PA CACIMBA DA TORRE GLEBA CENTRO LESTE,0.00,28.00,25.00,FAZENDA CACIMBA DA TORRE GLEBA CENTRO LESTE,,MF,29,BA,NORDESTE,VALE SAO-FRANCISCANO DA BAHIA,JUAZEIRO,CURACA,2909901,,0.00,0000/01/01,,,3791.70780,,,3791.8293,III,
,208,MF0302000,PA,PA JOSE ALMEIDA,3.00,100.00,99.00,FAZENDA CALIFORNIA DO NORDESTE,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,PETROLINA,PETROLINA,2611101,POR,38.00,2012/06/12,DESAPROPRIACAO,,1602.87540,,,1603.7027,III,
,210,MF0299000,PA,PA JUNCO,3.00,14.00,14.00,FAZENDA JUNCO,,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,SANTA MARIA DA BOA VISTA,2612604,POR,16.00,2012/03/21,CONFISCO,,1776.25740,,,1776.2717,III,
10934,213,MF0309000,PA,PA ARAGUATI,3.00,5.00,5.00,,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SALGUEIRO,PARNAMIRIM,2610400,POR,43.00,0000/01/01,DESAPROPRIACAO,,199.41410,,,199.8817,III,
,216,MF0294000,PA,PA IVAN SOUTO DE OLIVEIRA,3.00,57.00,56.00,FAZENDA SACO - IPA,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,PAJEU,SERRA TALHADA,2613909,POR,42.00,0000/01/01,DOACAO,,974.77030,,,974.7753,II,
10852,220,MF0311000,PA,PA PORTELINHA,3.00,4.00,4.00,,,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,SANTA MARIA DA BOA VISTA,2612604,POR,41.00,0000/01/01,DESAPROPRIACAO,,153.18270,,,155.6421,III,
10913,237,MF0171000,PA,PA CURRALINHO DOS ANGICOS,3.00,50.00,50.00,FAZENDA CURRALINHO DOS ANGICOS,2230420018480,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,ITAPARICA,FLORESTA,2605707,POR,11.00,2006/05/29,DESAPROPRIACAO,3489.08610,3489.08610,MERIDIONAL AGRIMENSURA LTDA,291409000002-05,3356.3879,I,
4678,238,MF0165000,PA,PA PIRAMBEBA,3.00,30.00,30.00,FAZENDA PIRAMBEBA,2250100080951,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SERTAO DO MOXOTO,BETANIA,2601805,POR,3.00,2006/03/03,DESAPROPRIACAO,1424.92160,1424.92160,MERIDIONAL AGRIMENSURA LTDA,291409000001-16,1209.2243,I,
11611,241,MF0084000,PA,PA BAIXA DO JUAZEIRO,4.00,25.00,25.00,LOTE 229 - GLEBA ESPINHEIRO,9502032953539,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,LAGOA GRANDE,2608750,POR,22.00,2003/12/05,ARRECADACAO,1438.35470,1438.35470,MERIDIONAL AGRIMENSURA LTDA,291501000009-33,1432.0647,I,
11613,242,MF0079000,PA,PA BOM CONSELHO,5.00,20.00,20.00,FAZENDA BOM CONSELHO / PORTO ALEGRE,2230930110615,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,LAGOA GRANDE,2608750,POR,8.00,2003/03/17,DESAPROPRIACAO,1001.39300,1001.39300,MERIDIONAL AGRIMENSURA LTDA,291501000012-39,1014.1463,I,
11617,243,MF0138000,PA,PA CARAIBAS III,3.00,28.00,28.00,FAZENDA CARAIBAS,2250370012524,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SERTAO DO MOXOTO,IBIMIRIM,2606606,POR,8.00,2005/05/30,DESAPROPRIACAO,1419.92290,1419.92290,MERIDIONAL AGRIMENSURA LTDA,291502000003-74,1466.0058,I,
11609,244,MF0274000,PA,PA CUSTODIA,3.00,30.00,29.00,FAZENDA CALDEIRAO - LT 989 E 991,2270300451106,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,ITAPARICA,BELEM DE SAO FRANCISCO,2601607,POR,32.00,2008/11/07,DESAPROPRIACAO,1245.48970,1245.00000,MERIDIONAL AGRIMENSURA LTDA,291501000007-71,1245.9411,I,
11620,246,MF0237000,PA,PA JOSUE DE CASTRO,3.00,50.00,50.00,FAZENDA ROLDINO,2210660110374,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,ARARIPINA,OURICURI,2609907,POR,45.00,2007/01/19,DESAPROPRIACAO,1807.32200,1807.32200,MERIDIONAL AGRIMENSURA LTDA,291502000008-89,1804.6017,I,
11623,250,MF0211000,PA,PA MORORO DOS PEIXOTOS,3.00,30.00,30.00,FAZENDA MORORO,9500680396839,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,TERRA NOVA,2615201,POR,1.00,0000/01/01,DESAPROPRIACAO,2040.61410,2040.61410,MERIDIONAL AGRIMENSURA LTDA,291502000004-55,2029.1253,I,
11619,253,MF0155000,PA,PA PANELAS,3.00,50.00,49.00,FAZENDA PANELAS - LT 253 ESPINHEIRO,9500416430336,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,LAGOA GRANDE,2608750,POR,29.00,2005/12/7,DESAPROPRIACAO,2405.50980,2405.50980,MERIDIONAL AGRIMENSURA LTDA,291502000009-60,2410.1801,I,
11614,254,MF0162000,PA,PA POÃ?O VERDE,3.00,53.00,53.00,FAZENDA POCO VERDE,2250450067770,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SERTAO DO MOXOTO,INAJA,2607000,POR,35.00,2005/12/22,DESAPROPRIACAO,1062.87650,827.58120,MERIDIONAL AGRIMENSURA LTDA,291501000011-58,1061.1501,I,
11608,255,MF0120000,PA,PA PROVINICIA DO UIGE,4.00,102.00,101.00,FAZENDA UIGE,9500176406386,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SERTAO DO MOXOTO,INAJA,2607000,POR,22.00,2004/11/16,DESAPROPRIACAO,2828.05560,2828.05560,MERIDIONAL AGRIMENSURA LTDA,291501000006-90,2829.2048,I,
11606,257,MF0186000,PA,PA SERRA BRANCA,3.00,35.00,34.00,FAZENDA SERRA BRANCA,9500418519229,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SERTAO DO MOXOTO,BETANIA,2601805,POR,27.00,2006/01/02,DESAPROPRIACAO,1364.00330,1364.00330,MERIDIONAL AGRIMENSURA LTDA,291501000004-29,1324.9359,I,
11604,258,MF0252000,PA,PA TIMBURUNA,3.00,46.00,43.00,FAZENDA TIMBURUNA,2241112610841,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,PAJEU,SERRA TALHADA,2613909,POR,56.00,2007/12/03,DESAPROPRIACAO,2230.50860,2230.50860,MERIDIONAL AGRIMENSURA LTDA,291501000001-86,2231.3393,I,
11622,259,MF0185000,PA,PA TRES CONQUISTAS,3.00,25.00,2.00,FAZENDA TRAVESSIA - POLIOL,2230930302875,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,LAGOA GRANDE,2608750,POR,26.00,0000/01/01,DESAPROPRIACAO,1057.42910,1057.42910,MERIDIONAL AGRIMENSURA LTDA,291502000006-17,1048.7624,I,
4667,261,MF0182000,PA,PA JOSIAS BARROS,,69.00,66.00,SITIO SANTA MARIA LOTE 191,2230930137653,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,SANTA MARIA DA BOA VISTA,2612604,,,,,3196.46770,,MERIDIONAL AGRIMENSURA LTDA,291504000001-65,3188.8750,I,
4925,262,MF0140000,PA,PA SAO BENEDITO,3.00,20.00,20.00,BAIXIO DA FAZENDA CACHOEIRA,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SALGUEIRO,MIRANDIBA,2909303,POR,10.00,2005/07/14,DESAPROPRIACAO,751.20140,751.20140,MERIDIONAL AGRIMENSURA LTDA,291505000001-91,695.7771,I,
